Loop — Implementation Tracker,,,,,,,
Companion to /loop_implementation/. Update weekly.,,,,,,,
Owner,CTO,,,,,,
Last updated,,,,,,,
Sprint length,2 weeks (Sprint 0 is 6w bootstrap),,,,,,
Working days / sprint,10,,,,,,
Quick links,,,,,,,
Architecture,loop_implementation/architecture/ARCHITECTURE.md,,,,,,
Data model,loop_implementation/data/SCHEMA.md,,,,,,
API spec,loop_implementation/api/openapi.yaml,,,,,,
ADRs,loop_implementation/adrs/README.md,,,,,,
UX/UI,loop_implementation/ux/UX_DESIGN.md,,,,,,
Engineering handbook,loop_implementation/engineering/HANDBOOK.md,,,,,,
Security,loop_implementation/engineering/SECURITY.md,,,,,,
Testing,loop_implementation/engineering/TESTING.md,,,,,,
Sprint 0 plan,loop_implementation/tracker/SPRINT_0.md,,,,,,
Master spec,botpress_competitor_spec.md,,,,,,
Status legend,,,,,,,
Done,,,,,,,
In progress,,,,,,,
Blocked,,,,,,,
At risk,,,,,,,
Not started,,,,,,,
